image_id,source_url,download_url,license,author,country,region,city,capture_context,damage_labels,split,license_ok,privacy_checked,notes
lead_wikimedia_roads_kz,https://commons.wikimedia.org/wiki/Category:Roads_in_Kazakhstan,,,,Kazakhstan,,,open-license-candidate,unknown,,false,false,Discovery lead from Wikimedia Commons Roads in Kazakhstan; verify per-image license before use.
lead_wikimedia_snowy_roads_kz,https://commons.wikimedia.org/wiki/Category:Snowy_roads_in_Kazakhstan,,,,Kazakhstan,,,open-license-candidate,unknown,,false,false,Discovery lead from Wikimedia Commons Snowy roads in Kazakhstan; verify per-image license before use.
lead_kazakhstan_open_data_roads,https://data.egov.kz/,,,,Kazakhstan,,,context-data,unknown,,false,false,Discovery lead from Kazakhstan Open Data road datasets; verify per-image license before use.
commons_167687792,https://commons.wikimedia.org/wiki/File:2022-07-31_%D0%B4%D0%BE%D1%80%D0%BE%D0%B3%D0%B0_%D0%BD%D0%B0_%D0%A7%D0%B8%D0%BC%D0%B1%D1%83%D0%BB%D0%B0%D0%BA.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/2022-07-31_%D0%B4%D0%BE%D1%80%D0%BE%D0%B3%D0%B0_%D0%BD%D0%B0_%D0%A7%D0%B8%D0%BC%D0%B1%D1%83%D0%BB%D0%B0%D0%BA.jpg,CC-BY-SA-4.0,Нурлан Елеусинов,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:2022-07-31 дорога на Чимбулак.jpg MIME: image/jpeg Privacy review still required before publication.
commons_122937122,https://commons.wikimedia.org/wiki/File:A1_kazakistan_ita.png,https://upload.wikimedia.org/wikipedia/commons/3/36/A1_kazakistan_ita.png,CC-BY-SA-4.0,Trapanozzi,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:A1 kazakistan ita.png MIME: image/png Privacy review still required before publication. Triage warning: likely non-photo or map/diagram asset.
commons_12269374,https://commons.wikimedia.org/wiki/File:KamAZ_dump_truck_in_Kazakhstan.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1f/KamAZ_dump_truck_in_Kazakhstan.jpg,CC-BY-2.0,Mark Pitcher,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:KamAZ dump truck in Kazakhstan.jpg MIME: image/jpeg Privacy review still required before publication.
commons_67989224,https://commons.wikimedia.org/wiki/File:Kazakhstan_P9120102_(39181368725).jpg,https://upload.wikimedia.org/wikipedia/commons/6/63/Kazakhstan_P9120102_%2839181368725%29.jpg,CC-BY-SA-2.0,t_y_l,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,normal,train,true,true,Collected from Category:Roads in Kazakhstan Commons title: File:Kazakhstan P9120102 (39181368725).jpg MIME: image/jpeg Privacy review still required before publication. Triage include by Codex. Triage notes: Paved road surface visible; no target road damage visible at review resolution.
commons_45036955,https://commons.wikimedia.org/wiki/File:Kazakhstan_in_autumn_(9720298344).jpg,https://upload.wikimedia.org/wikipedia/commons/3/3c/Kazakhstan_in_autumn_%289720298344%29.jpg,CC-BY-SA-2.0,likeablerodent,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,normal,train,true,true,Collected from Category:Roads in Kazakhstan Commons title: File:Kazakhstan in autumn (9720298344).jpg MIME: image/jpeg Privacy review still required before publication. Triage include by Codex. Triage notes: Paved road surface visible; no target road damage visible at review resolution.
commons_79548733,https://commons.wikimedia.org/wiki/File:Kazakhstan_in_autumn_(9720298344)_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Kazakhstan_in_autumn_%289720298344%29_%28cropped%29.jpg,CC-BY-SA-2.0,likeablerodent,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Kazakhstan in autumn (9720298344) (cropped).jpg MIME: image/jpeg Privacy review still required before publication.
commons_59917080,"https://commons.wikimedia.org/wiki/File:Novodolinsky_100000,_Kazakhstan_-_panoramio_(1).jpg",https://upload.wikimedia.org/wikipedia/commons/e/e6/Novodolinsky_100000%2C_Kazakhstan_-_panoramio_%281%29.jpg,CC-BY-3.0,Маргарита москалюк,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,longitudinal_crack;transverse_crack,val,true,true,"Collected from Category:Roads in Kazakhstan Commons title: File:Novodolinsky 100000, Kazakhstan - panoramio (1).jpg MIME: image/jpeg Privacy review still required before publication. Triage include by Codex. Triage notes: Paved road surface with visible longitudinal and transverse cracking; no identifiable people or plates visible at review resolution."
commons_77406729,https://commons.wikimedia.org/wiki/File:Nur-Sultan_-_190217_DSC_3456.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Nur-Sultan_-_190217_DSC_3456.jpg,CC-BY-SA-4.0,Ilya Varlamov,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Nur-Sultan - 190217 DSC 3456.jpg MIME: image/jpeg Privacy review still required before publication.
commons_77406816,https://commons.wikimedia.org/wiki/File:Nur-Sultan_-_190217_DSC_3457.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fe/Nur-Sultan_-_190217_DSC_3457.jpg,CC-BY-SA-4.0,Ilya Varlamov,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Nur-Sultan - 190217 DSC 3457.jpg MIME: image/jpeg Privacy review still required before publication.
commons_97558229,https://commons.wikimedia.org/wiki/File:P-11_Road_in_Kazakhstan.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3c/P-11_Road_in_Kazakhstan.jpg,CC-BY-SA-4.0,Chris,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:P-11 Road in Kazakhstan.jpg MIME: image/jpeg Privacy review still required before publication.
commons_46277487,https://commons.wikimedia.org/wiki/File:People_Were_HERE.JPG,https://upload.wikimedia.org/wikipedia/commons/6/6c/People_Were_HERE.JPG,CC-BY-SA-4.0,Asmir97,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:People Were HERE.JPG MIME: image/jpeg Privacy review still required before publication.
